,group,round,id_in_group,split,high,guess,win,turker,strategy
285,9,8,2,1,1,7.0,1,A1MVPAAPFIWETH,Trying to figure out the averages of the past numbers. 
286,9,8,3,1,1,16.0,0,A10TWCI2VE0LWJ,After round 2 I tried to keep my guesses close to what the previous average was.
287,9,8,4,1,1,15.0,0,A2UVS1PDM9QM4Z,GOOD STRATEGY
288,10,1,1,1,1,55.0,0,AJUDT3UBBKYPK,
289,10,1,2,1,1,50.0,0,ATXY4CAGV87ZL,
290,10,1,3,1,1,50.0,0,A2251NUVA69G7E,
291,10,1,4,1,1,27.0,1,A2GY8FV96EVCZN,
292,10,2,1,1,1,37.0,0,AJUDT3UBBKYPK,
293,10,2,2,1,1,30.0,0,ATXY4CAGV87ZL,
294,10,2,3,1,1,45.0,0,A2251NUVA69G7E,
295,10,2,4,1,1,22.0,1,A2GY8FV96EVCZN,
296,10,3,1,1,1,42.0,0,AJUDT3UBBKYPK,
297,10,3,2,1,1,25.0,0,ATXY4CAGV87ZL,
298,10,3,3,1,1,20.0,0,A2251NUVA69G7E,
299,10,3,4,1,1,17.0,1,A2GY8FV96EVCZN,
300,10,4,1,1,1,35.0,0,AJUDT3UBBKYPK,
301,10,4,2,1,1,15.0,0,ATXY4CAGV87ZL,
302,10,4,3,1,1,15.0,0,A2251NUVA69G7E,
303,10,4,4,1,1,14.0,1,A2GY8FV96EVCZN,
304,10,5,1,1,1,24.0,0,AJUDT3UBBKYPK,
305,10,5,2,1,1,9.0,1,ATXY4CAGV87ZL,
306,10,5,3,1,1,10.0,0,A2251NUVA69G7E,
307,10,5,4,1,1,9.0,1,A2GY8FV96EVCZN,
308,10,6,1,1,1,15.0,0,AJUDT3UBBKYPK,
309,10,6,2,1,1,6.0,0,ATXY4CAGV87ZL,
310,10,6,3,1,1,5.0,1,A2251NUVA69G7E,
311,10,6,4,1,1,5.0,1,A2GY8FV96EVCZN,
312,10,7,1,1,1,23.0,0,AJUDT3UBBKYPK,
313,10,7,2,1,1,2.0,0,ATXY4CAGV87ZL,
314,10,7,3,1,1,2.0,0,A2251NUVA69G7E,
315,10,7,4,1,1,3.0,1,A2GY8FV96EVCZN,
316,10,8,1,1,1,75.0,0,AJUDT3UBBKYPK,I tried seeing what would be best but it was hard. 
317,10,8,2,1,1,3.0,1,ATXY4CAGV87ZL,I just kept guessing a few numbers below the last average
318,10,8,3,1,1,2.0,0,A2251NUVA69G7E,"Keep lowering the highest, as the others guessed lower, the overall average went down "
319,10,8,4,1,1,2.0,0,A2GY8FV96EVCZN,I tried to judge what the other people will think of.
320,11,1,1,1,1,20.0,1,A1BEM74QY3Y2GT,
321,11,1,2,1,1,50.0,0,ASV53ZC7ILJ7B,
322,11,1,3,1,1,50.0,0,A2HGZOXZ36XKRI,
323,11,1,4,1,1,65.0,0,A1T3ROSW2LC4FG,
324,11,2,1,1,1,15.0,1,A1BEM74QY3Y2GT,
325,11,2,2,1,1,25.0,0,ASV53ZC7ILJ7B,
326,11,2,3,1,1,34.0,0,A2HGZOXZ36XKRI,
327,11,2,4,1,1,28.0,0,A1T3ROSW2LC4FG,
328,11,3,1,1,1,10.0,1,A1BEM74QY3Y2GT,
329,11,3,2,1,1,20.0,0,ASV53ZC7ILJ7B,
330,11,3,3,1,1,11.0,0,A2HGZOXZ36XKRI,
331,11,3,4,1,1,17.0,0,A1T3ROSW2LC4FG,
332,11,4,1,1,1,5.0,1,A1BEM74QY3Y2GT,
333,11,4,2,1,1,15.0,0,ASV53ZC7ILJ7B,
334,11,4,3,1,1,7.0,0,A2HGZOXZ36XKRI,
335,11,4,4,1,1,6.0,1,A1T3ROSW2LC4FG,
336,11,5,1,1,1,1.0,0,A1BEM74QY3Y2GT,
337,11,5,2,1,1,5.0,0,ASV53ZC7ILJ7B,
338,11,5,3,1,1,2.0,1,A2HGZOXZ36XKRI,
339,11,5,4,1,1,3.0,0,A1T3ROSW2LC4FG,
