size,group,round,id_in_group,split,high,guess,win,payoff,id,strategy
GoR_2,18,7,1,1,1,40.0,1,1.63,pzttfzdl,
GoR_2,18,7,2,1,1,88.0,0,0.38,hw3500vk,
GoR_2,18,8,1,1,1,19.0,1,1.63,pzttfzdl,"I tried to guess what my partner would end up guessing. If my partner's guess for the average for one round was very low, I estimated that he would guess a higher number in the next round and increased my estimation accordingly."
GoR_2,18,8,2,1,1,21.0,0,0.38,hw3500vk,none
GoR_2,20,1,1,1,1,20.0,1,1.38,287alwgi,
GoR_2,20,1,2,1,1,100.0,0,0.63,tnr0yhba,
GoR_2,20,2,1,1,1,20.0,1,1.38,287alwgi,
GoR_2,20,2,2,1,1,40.0,0,0.63,tnr0yhba,
GoR_2,20,3,1,1,1,10.0,1,1.38,287alwgi,
GoR_2,20,3,2,1,1,78.0,0,0.63,tnr0yhba,
GoR_2,20,4,1,1,1,25.0,0,1.38,287alwgi,
GoR_2,20,4,2,1,1,10.0,1,0.63,tnr0yhba,
GoR_2,20,5,1,1,1,7.0,1,1.38,287alwgi,
GoR_2,20,5,2,1,1,10.0,0,0.63,tnr0yhba,
GoR_2,20,6,1,1,1,4.0,1,1.38,287alwgi,
GoR_2,20,6,2,1,1,15.0,0,0.63,tnr0yhba,
GoR_2,20,7,1,1,1,2.0,0,1.38,287alwgi,
GoR_2,20,7,2,1,1,0.0,1,0.63,tnr0yhba,
GoR_2,20,8,1,1,1,0.0,1,1.38,287alwgi,go low
GoR_2,20,8,2,1,1,0.0,1,0.63,tnr0yhba,At first I select the highest values after loosing the game I understood that the lower value are winning.so I followed this strategy.Thank you
GoR_2,24,1,1,1,0,69.0,1,1.89,8j82qbfc,
GoR_2,24,1,2,1,0,70.0,0,1.8,bqqd3rsu,
GoR_2,24,2,1,1,0,70.0,0,1.89,8j82qbfc,
GoR_2,24,2,2,1,0,50.0,1,1.8,bqqd3rsu,
GoR_2,24,3,1,1,0,70.0,0,1.89,8j82qbfc,
GoR_2,24,3,2,1,0,25.0,1,1.8,bqqd3rsu,
GoR_2,24,4,1,1,0,30.0,1,1.89,8j82qbfc,
GoR_2,24,4,2,1,0,60.0,0,1.8,bqqd3rsu,
GoR_2,24,5,1,1,0,60.0,0,1.89,8j82qbfc,
GoR_2,24,5,2,1,0,50.0,1,1.8,bqqd3rsu,
GoR_2,24,6,1,1,0,50.0,0,1.89,8j82qbfc,
GoR_2,24,6,2,1,0,25.0,1,1.8,bqqd3rsu,
GoR_2,24,7,1,1,0,60.0,1,1.89,8j82qbfc,
GoR_2,24,7,2,1,0,70.0,0,1.8,bqqd3rsu,
GoR_2,24,8,1,1,0,60.0,1,1.89,8j82qbfc,I was focusing the other player output.
