participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.estimate,player.estimate_p,player.estimate_kg,player.estimate_percent_diff,player.unit,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.worker_running,subsession.someone_arriving,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
33,s6bnsg7b,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:25:33.230106+00:00,1,A1XJ1HM70IX4AQ,34QN5IT0T0AXTG5PIL5JMETFUIW80D,0.08,33,18,[18],1198.0,1198.0,543.403566051883,0.559283401417776,1,,2018-07-23 07:25:55.810694+00:00,22,0.08,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
34,me0qppew,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:27:24.782677+00:00,1,A39EH9228GV09X,32VNZTT0A8NKA92M0VYLPYEX1M04R1,0.02,34,19,[18],350.0,350.0,158.757302268914,0.871243063853273,1,,2018-07-23 07:28:03.844877+00:00,6,0.02,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
35,8iwxbika,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-23 07:28:22.090230+00:00,1,A3FC9TXW4L9ZT5,323Q6SJS8JZHJVL8O7IA2Y9I33BFH3,0.00,35,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
36,a5s4ml4b,,0,2,19,consent,1,BlockDropouts,172.16.176.137,2018-07-23 07:30:34.217301+00:00,1,AJSGJKY3RRJGF,384PI804XTKFC0KYWJBO35TG6C3S0X,0.00,36,0,,,,,,,,,,,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
37,xlr6l2ch,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:33:58.383944+00:00,1,A2J988AKKQE93,39ZSFO5CA9F2TJDO7WGU0BQ0QIUUJM,0.01,37,20,[34],750.0,1653.46725,750.0,0.391727493917275,0,,2018-07-23 07:34:48.213623+00:00,3,0.01,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
38,qytfj3qt,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:42:47.086956+00:00,1,A1LQKMSG4GT8N,3NC5L260MP5RBC7VSKD0M76JFPPOF0,0.02,38,21,[34],650.0,650.0,294.834989927983,0.760879975727508,1,,2018-07-23 07:44:01.783594+00:00,5,0.02,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
39,gpo00q1u,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:43:51.861570+00:00,1,A196265AVT9LKH,3570Y55XZQ29JQ7S9RSG6J4XUEOYGK,0.06,39,22,[34],1200.0,1200.0,544.310750636277,0.558547647496937,1,,2018-07-23 07:44:10.393300+00:00,17,0.06,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
40,l190iwhz,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:48:06.656257+00:00,1,A2M1CVZZJAN4T4,34MAJL3QP56SR7HKP5XP70BHV8L43Y,0.02,40,23,[34],500.0,1102.3115,500.0,0.59448499594485,0,,2018-07-23 07:48:54.688729+00:00,4,0.02,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
41,pzi5dxix,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:55:25.697317+00:00,1,A37IIW0U49DKGP,35USIKEBNSZDAYE8QCAJDCT1WGI6N1,0.01,41,23,[34],0.0,,,,0,,2018-07-23 07:55:46.860350+00:00,2,0.01,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
42,zltvaid3,,0,20,19,ox,1,Results,172.16.176.137,2018-07-23 07:59:31.836533+00:00,1,A3QS3LQEMNFK0Q,3SNVL38CI5B1I9263QV67K47Y7OCKU,0.01,42,23,[34],0.0,,,,0,,2018-07-23 07:59:59.351414+00:00,4,0.01,0.00,1,1,0,0,0.2,30,300,1,1,min,qbp8ivmd,,,37ZQELHEQ0HDDH16NQCYEPU0Q56MN5,3NVVDJT9H76PFEAYZH193D092ZEPXT,,0
