participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.decision_order,player.decision_history,player.guess,player.confirm,player.guess_percent_diff,player.early_finish,player.wp_timer_start,player.sec_spent,player.sec_earned,player.payoff,group.id_in_subsession,subsession.round_number,subsession.pay_per_min,subsession.wait_before_leave,subsession.max_wait_time,subsession.bonus,subsession.views,subsession.selection_method,subsession.true_number_of_dots,subsession.image_path,subsession.worker_running,subsession.last_worker_activity,subsession.number_of_people_going_to_wait,subsession.last_prewait_check,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
31,gj8forkv,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:36:20.012995+00:00,1,A1FH0Y12VSXUMK,3VBEN272MLICN4VJAL0ROXGXF42GSO,0.00,31,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
32,mngbrxpi,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:36:28.724805+00:00,1,A32ICMGDXWPTA3,3OF2M9AATH7EQ2DGV4FEII5T90IZKE,0.00,32,11,"[3, 12, 17]",,0,,,2018-08-12 11:38:30.429572+00:00,257,0.86,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
33,148ab7ew,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:36:45.545009+00:00,1,A3NZAEOHAO5LT6,3BEFOD78W7CTDTPUVN243ZKOXAB4MD,0.00,33,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
34,19mmxjqj,,0,21,20,dots,1,ThankYou,172.16.176.137,2018-08-12 11:36:46.897267+00:00,1,A2JYT3A8Z3Q2M6,3OONKJ5DKD21YVVFNIR43HFZ227BO5,0.98,34,12,"[3, 12, 17]",156,1,0.612903225806452,,2018-08-12 11:39:09.274892+00:00,292,0.98,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
35,zimccuoz,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:36:49.093403+00:00,1,A15HCM2AMX95Z9,3R6P78PK7LUD248YZL5HY2CJHNGGTD,0.00,35,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
36,tz2iq2k0,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:37:05.651926+00:00,1,A983BF0Q2PU2J,35DR22AR5E3JP95U9GZU4B8GQEYX34,0.00,36,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
37,te4qocdw,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:37:50.641411+00:00,1,AG6JSZQZOT8ZD,3PH3VY7DJMG5L27XKIYH6TZOW7RZWA,0.00,37,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
38,ohujv2r1,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:38:03.670954+00:00,1,A278N0LVC3DDGY,36DSNE9QZ6H7GETRBA4L15YCA7GJOY,0.00,38,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
39,1cpll3sb,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:38:14.665165+00:00,1,A2IIN7ZKM8IGP3,34X6J5FLPUHA1Q67QNWPQATCP8YJQ6,0.00,39,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
40,5gmx207d,,0,17,20,dots,1,TooManyPlayers,172.16.176.137,2018-08-12 11:38:17.664367+00:00,1,A30N2B1FN2AVO6,32SCWG5HIINDDJQL6RNBH1YXY6S6PW,0.00,40,0,,,0,,,,,0.0,0.00,1,1,0.2,30,300,1,3,max,403,images/dots3.png,0,2018-08-12 16:44:09.580495+00:00,0,2018-08-12 16:40:26.654482+00:00,ua2230ux,,,3N7PQ0KLI588XPGJO940S3RLD1PE3O,3BDWTFGLE5GE255XK5KW391JL83S1Q,,0
