size,group,round,id_in_group,split,high,guess,win,turker,strategy
GoR_2,67,2,2,0,0,6.0,1,ADO4WN8SKYVYQ,
GoR_2,67,3,1,0,0,10.0,0,AFMF0LEX2W1FV,
GoR_2,67,3,2,0,0,5.0,1,ADO4WN8SKYVYQ,
GoR_2,67,4,1,0,0,4.0,1,AFMF0LEX2W1FV,
GoR_2,67,4,2,0,0,10.0,0,ADO4WN8SKYVYQ,
GoR_2,67,5,1,0,0,10.0,0,AFMF0LEX2W1FV,
GoR_2,67,5,2,0,0,4.0,1,ADO4WN8SKYVYQ,
GoR_2,67,6,1,0,0,20.0,0,AFMF0LEX2W1FV,
GoR_2,67,6,2,0,0,5.0,1,ADO4WN8SKYVYQ,
GoR_2,67,7,1,0,0,5.0,1,AFMF0LEX2W1FV,
GoR_2,67,7,2,0,0,10.0,0,ADO4WN8SKYVYQ,
GoR_2,67,8,1,0,0,5.0,1,AFMF0LEX2W1FV,"I didn't use any particular strategy, I was hoping the other person would put in higher amounts to make the average higher so one of us would get higher bonuses, but that didn't happen. so i started doing smaller numbers to be closer to the average the other person was making,"
GoR_2,67,8,2,0,0,10.0,0,ADO4WN8SKYVYQ,NICE
GoR_2,69,1,1,1,0,100.0,0,A23S3TBFRILU5H,
GoR_2,69,1,2,1,0,64.0,1,AL7L4BS9AW3TI,
GoR_2,69,2,1,1,0,55.0,1,A23S3TBFRILU5H,
GoR_2,69,2,2,1,0,55.0,1,AL7L4BS9AW3TI,
GoR_2,69,3,1,1,0,55.0,1,A23S3TBFRILU5H,
GoR_2,69,3,2,1,0,58.0,0,AL7L4BS9AW3TI,
GoR_2,69,4,1,1,0,55.0,0,A23S3TBFRILU5H,
GoR_2,69,4,2,1,0,49.0,1,AL7L4BS9AW3TI,
GoR_2,69,5,1,1,0,35.0,1,A23S3TBFRILU5H,
GoR_2,69,5,2,1,0,46.0,0,AL7L4BS9AW3TI,
GoR_2,69,6,1,1,0,30.0,1,A23S3TBFRILU5H,
GoR_2,69,6,2,1,0,38.0,0,AL7L4BS9AW3TI,
GoR_2,69,7,1,1,0,23.0,1,A23S3TBFRILU5H,
GoR_2,69,7,2,1,0,29.0,0,AL7L4BS9AW3TI,
GoR_2,69,8,1,1,0,19.0,0,A23S3TBFRILU5H,"I looked at the average and noticed I needed a lower number to win, sometimes it did not work out in my favor but I tried to stay close to the average. Thanks, very interesting experiment. "
GoR_2,69,8,2,1,0,18.0,1,AL7L4BS9AW3TI,"At first I tried to stay near the middle of the scale, then I noticed that the winning numbers were dropping. I didn't feel like I had time to calculate each drop, so I just started guessing near the last winning number (if that makes any sense)."
GoR_2,74,1,1,0,0,35.0,1,A1NSHNH3MNFRGW,
GoR_2,74,1,2,0,0,40.0,0,APGX2WZ59OWDN,
GoR_2,74,2,1,0,0,58.0,0,A1NSHNH3MNFRGW,
GoR_2,74,2,2,0,0,20.0,1,APGX2WZ59OWDN,
GoR_2,74,3,1,0,0,60.0,0,A1NSHNH3MNFRGW,
GoR_2,74,3,2,0,0,30.0,1,APGX2WZ59OWDN,
GoR_2,74,4,1,0,0,40.0,0,A1NSHNH3MNFRGW,
GoR_2,74,4,2,0,0,30.0,1,APGX2WZ59OWDN,
GoR_2,74,5,1,0,0,23.0,1,A1NSHNH3MNFRGW,
GoR_2,74,5,2,0,0,35.0,0,APGX2WZ59OWDN,
GoR_2,74,6,1,0,0,25.0,0,A1NSHNH3MNFRGW,
GoR_2,74,6,2,0,0,20.0,1,APGX2WZ59OWDN,
GoR_2,74,7,1,0,0,17.0,1,A1NSHNH3MNFRGW,
